dense_source_id,dense_dest_id,airline,equipment,price_usd,duration_mins,departure_time,arrival_time,day_change
2262,2284,2B,CR2,406,155,285,440,0
2262,2284,2B,CR2,366,155,570,725,0
2262,2284,2B,CR2,439,155,1395,110,1
2263,2284,2B,CR2,103,120,235,295,0
2263,2259,2B,CR2,64,75,1435,10,1
2265,2284,2B,CR2,86,100,1070,1050,0
2265,2284,2B,CR2,126,100,15,1435,-1
2265,2284,2B,CR2,125,100,1080,1060,0
2265,3232,2B,CR2,333,140,260,520,0
2265,3232,2B,CR2,227,140,880,1140,0
3191,2284,2B,CR2,152,95,1175,1270,0
3191,2284,2B,CR2,240,95,965,1060,0
3191,2284,2B,CR2,142,95,925,1020,0
3191,4588,2B,CR2,177,105,580,685,0
3191,4144,2B,CR2,159,110,255,365,0
4140,2250,2B,CR2,172,130,415,485,0
4140,2250,2B,CR2,199,130,680,750,0
4140,2284,2B,CR2,156,115,435,550,0
2224,4588,2B,CR2,282,165,970,1075,0
2224,4588,2B,CR2,141,165,1425,90,1
2250,4140,2B,CR2,205,130,585,775,0
2284,2262,2B,CR2,552,155,685,840,0
2284,2262,2B,CR2,137,155,805,960,0
2284,2263,2B,CR2,283,120,1170,1350,0
2284,2263,2B,CR2,185,120,1435,175,1
2284,2263,2B,CR2,167,120,1095,1275,0
2284,2265,2B,CR2,123,100,350,570,0
2284,3191,2B,CR2,71,95,280,375,0
2284,4140,2B,CR2,163,115,1080,1195,0
2284,4140,2B,CR2,192,115,1195,1310,0
2284,4140,2B,CR2,149,115,25,140,0
2284,2246,2B,CR2,184,130,680,810,0
2284,2246,2B,CR2,191,130,750,880,0
2284,2246,2B,CR2,209,130,670,800,0
2284,2270,2B,CR2,126,95,270,485,0
2284,2270,2B,CR2,120,95,1295,70,1
2284,2270,2B,CR2,146,95,410,625,0
2246,2284,2B,CR2,193,130,0,130,0
2246,2284,2B,CR2,216,130,285,415,0
2246,2284,2B,CR2,106,130,785,915,0
2246,4588,2B,CR2,422,145,200,345,0
2246,4588,2B,CR2,214,145,175,320,0
2246,4588,2B,CR2,420,145,320,465,0
2246,4144,2B,CR2,248,150,420,570,0
2246,4144,2B,CR2,252,150,1080,1230,0
2246,4144,2B,CR2,216,150,510,660,0
2259,2263,2B,CR2,102,75,955,1090,0
2259,2263,2B,CR2,52,75,305,440,0
2259,2263,2B,CR2,93,75,50,185,0
4588,3191,2B,CR2,330,105,15,120,0
4588,2224,2B,CR2,277,165,170,395,0
4588,2246,2B,CR2,134,145,1315,20,1
4588,2270,2B,CR2,279,80,1380,140,1
2267,2270,2B,CR2,100,115,1210,1325,0
2267,2270,2B,CR2,88,115,1040,1155,0
2267,2270,2B,CR2,164,115,1100,1215,0
2267,4144,2B,CR2,268,155,135,170,0
2267,4144,2B,CR2,523,155,250,285,0
2267,4144,2B,CR2,126,155,275,310,0
3460,2270,2B,CR2,193,140,355,495,0
3460,2270,2B,CR2,180,140,635,775,0
3232,2265,2B,CR2,521,140,250,270,0
3232,2265,2B,CR2,235,140,35,55,0
3232,2265,2B,CR2,124,140,605,625,0
3232,2270,2B,CR2,191,145,1025,1050,0
2270,2284,2B,CR2,146,95,995,970,0
2270,4588,2B,CR2,130,80,730,690,0
2270,4588,2B,CR2,114,80,1420,1380,0
2270,2267,2B,CR2,86,115,755,870,0
2270,3460,2B,CR2,375,140,1385,85,1
2270,3460,2B,CR2,207,140,125,265,0
2270,3460,2B,CR2,143,140,1355,55,1
2270,3232,2B,CR2,333,145,475,740,0
4144,3191,2B,CR2,387,110,1030,1140,0
4144,2246,2B,CR2,218,150,100,250,0
4144,2267,2B,CR2,218,155,1335,170,1
4144,2267,2B,CR2,136,155,800,1075,0
4144,2267,2B,CR2,265,155,765,1040,0
2236,2237,2G,A81,151,75,20,95,0
2236,3232,2G,A81,237,130,185,255,0
2265,3232,2G,A81,286,140,890,1150,0
2235,2237,2G,AN4,99,85,725,750,0
2235,2237,2G,AN4,171,85,770,795,0
2237,2236,2G,A81,304,75,1350,1425,0
2237,2236,2G,A81,115,75,765,840,0
2237,2236,2G,A81,146,75,340,415,0
2237,2235,2G,AN4,83,85,1415,120,1
2237,2235,2G,AN4,136,85,535,680,0
2237,2235,2G,AN4,138,85,675,820,0
2237,5362,2G,AN4,208,105,235,340,0
2237,3232,2G,A81,244,150,5,95,0
2237,4558,2G,AN4,137,80,410,490,0
2237,4558,2G,AN4,119,80,1090,1170,0
2237,5387,2G,AN4,249,125,380,565,0
2237,5387,2G,AN4,369,125,1410,155,1
2237,5387,2G,AN4,256,125,785,970,0
2237,2225,2G,A81,183,180,915,1155,0
2226,3232,2G,A81,390,190,905,975,0
5362,2237,2G,AN4,174,105,395,500,0
5362,2237,2G,AN4,207,105,415,520,0
3232,2236,2G,A81,162,130,60,250,0
